Task,Layer,TopK,Metric,Value
german,15,1000,Shared,972
german,15,2000,Unique,27
german,15,2000,Shared,1973
german,15,3000,Unique,24
german,15,3000,Shared,2976
german,15,5000,Unique,20
german,15,5000,Shared,4980
german,16,50,Unique,4
german,16,50,Shared,46
german,16,100,Unique,20
german,16,100,Shared,80
german,16,500,Unique,19
german,16,500,Shared,481
german,16,1000,Unique,19
german,16,1000,Shared,981
german,16,2000,Unique,16
german,16,2000,Shared,1984
german,16,3000,Unique,14
german,16,3000,Shared,2986
german,16,5000,Unique,13
german,16,5000,Shared,4987
german,17,50,Unique,6
german,17,50,Shared,44
german,17,100,Unique,16
german,17,100,Shared,84
german,17,500,Unique,25
german,17,500,Shared,475
german,17,1000,Unique,25
german,17,1000,Shared,975
german,17,2000,Unique,22
german,17,2000,Shared,1978
german,17,3000,Unique,20
german,17,3000,Shared,2980
german,17,5000,Unique,18
german,17,5000,Shared,4982
german,18,50,Unique,6
german,18,50,Shared,44
german,18,100,Unique,15
german,18,100,Shared,85
german,18,500,Unique,20
german,18,500,Shared,480
german,18,1000,Unique,19
german,18,1000,Shared,981
german,18,2000,Unique,19
german,18,2000,Shared,1981
german,18,3000,Unique,18
german,18,3000,Shared,2982
german,18,5000,Unique,12
german,18,5000,Shared,4988
german,19,50,Unique,2
german,19,50,Shared,48
german,19,100,Unique,13
german,19,100,Shared,87
german,19,500,Unique,13
german,19,500,Shared,487
german,19,1000,Unique,13
german,19,1000,Shared,987
german,19,2000,Unique,13
german,19,2000,Shared,1987
german,19,3000,Unique,13
german,19,3000,Shared,2987
german,19,5000,Unique,12
german,19,5000,Shared,4988
german,20,50,Unique,3
german,20,50,Shared,47
german,20,100,Unique,14
german,20,100,Shared,86
german,20,500,Unique,14
german,20,500,Shared,486
german,20,1000,Unique,14
german,20,1000,Shared,986
german,20,2000,Unique,13
german,20,2000,Shared,1987
german,20,3000,Unique,12
german,20,3000,Shared,2988
german,20,5000,Unique,10
german,20,5000,Shared,4990
german,21,50,Unique,2
german,21,50,Shared,48
german,21,100,Unique,2
german,21,100,Shared,98
german,21,500,Unique,2
german,21,500,Shared,498
german,21,1000,Unique,2
german,21,1000,Shared,998
german,21,2000,Unique,2
german,21,2000,Shared,1998
german,21,3000,Unique,2
german,21,3000,Shared,2998
german,21,5000,Unique,2
german,21,5000,Shared,4998
german,22,50,Unique,5
german,22,50,Shared,45
german,22,100,Unique,5
german,22,100,Shared,95
german,22,500,Unique,5
german,22,500,Shared,495
german,22,1000,Unique,5
german,22,1000,Shared,995
german,22,2000,Unique,5
german,22,2000,Shared,1995
german,22,3000,Unique,5
german,22,3000,Shared,2995
german,22,5000,Unique,4
german,22,5000,Shared,4996
german,23,50,Unique,1
german,23,50,Shared,49
german,23,100,Unique,1
german,23,100,Shared,99
german,23,500,Unique,1
german,23,500,Shared,499
german,23,1000,Unique,1
german,23,1000,Shared,999
german,23,2000,Unique,1
german,23,2000,Shared,1999
german,23,3000,Unique,1
german,23,3000,Shared,2999
german,23,5000,Unique,1
german,23,5000,Shared,4999
german,24,50,Unique,0
german,24,50,Shared,50
german,24,100,Unique,0
german,24,100,Shared,100
german,24,500,Unique,0
german,24,500,Shared,500
german,24,1000,Unique,0
german,24,1000,Shared,1000
german,24,2000,Unique,0
german,24,2000,Shared,2000
german,24,3000,Unique,0
german,24,3000,Shared,3000
german,24,5000,Unique,0
german,24,5000,Shared,5000
german,25,50,Unique,0
german,25,50,Shared,50
german,25,100,Unique,0
german,25,100,Shared,100
german,25,500,Unique,0
german,25,500,Shared,500
german,25,1000,Unique,0
german,25,1000,Shared,1000
german,25,2000,Unique,0
german,25,2000,Shared,2000
german,25,3000,Unique,0
