Task,Layer,TopK,Metric,Value
math,25,3000,Unique,0
math,25,3000,Shared,3000
math,25,5000,Unique,0
math,25,5000,Shared,5000
sql,0,50,Unique,2
sql,0,50,Shared,48
sql,0,100,Unique,2
sql,0,100,Shared,98
sql,0,500,Unique,6
sql,0,500,Shared,494
sql,0,1000,Unique,9
sql,0,1000,Shared,991
sql,0,2000,Unique,3
sql,0,2000,Shared,1997
sql,0,3000,Unique,560
sql,0,3000,Shared,2440
sql,0,5000,Unique,1794
sql,0,5000,Shared,3206
sql,1,50,Unique,1
sql,1,50,Shared,49
sql,1,100,Unique,3
sql,1,100,Shared,97
sql,1,500,Unique,5
sql,1,500,Shared,495
sql,1,1000,Unique,12
sql,1,1000,Shared,988
sql,1,2000,Unique,9
sql,1,2000,Shared,1991
sql,1,3000,Unique,347
sql,1,3000,Shared,2653
sql,1,5000,Unique,1232
sql,1,5000,Shared,3768
sql,2,50,Unique,2
sql,2,50,Shared,48
sql,2,100,Unique,2
sql,2,100,Shared,98
sql,2,500,Unique,5
sql,2,500,Shared,495
sql,2,1000,Unique,8
sql,2,1000,Shared,992
sql,2,2000,Unique,15
sql,2,2000,Shared,1985
sql,2,3000,Unique,275
sql,2,3000,Shared,2725
sql,2,5000,Unique,658
sql,2,5000,Shared,4342
sql,3,50,Unique,2
sql,3,50,Shared,48
sql,3,100,Unique,5
sql,3,100,Shared,95
sql,3,500,Unique,146
sql,3,500,Shared,354
sql,3,1000,Unique,257
sql,3,1000,Shared,743
sql,3,2000,Unique,393
sql,3,2000,Shared,1607
sql,3,3000,Unique,530
sql,3,3000,Shared,2470
sql,3,5000,Unique,1051
sql,3,5000,Shared,3949
sql,4,50,Unique,1
sql,4,50,Shared,49
sql,4,100,Unique,3
sql,4,100,Shared,97
sql,4,500,Unique,9
sql,4,500,Shared,491
sql,4,1000,Unique,162
sql,4,1000,Shared,838
sql,4,2000,Unique,302
sql,4,2000,Shared,1698
sql,4,3000,Unique,411
sql,4,3000,Shared,2589
sql,4,5000,Unique,619
sql,4,5000,Shared,4381
sql,5,50,Unique,4
sql,5,50,Shared,46
sql,5,100,Unique,3
sql,5,100,Shared,97
sql,5,500,Unique,79
sql,5,500,Shared,421
sql,5,1000,Unique,146
sql,5,1000,Shared,854
sql,5,2000,Unique,224
sql,5,2000,Shared,1776
sql,5,3000,Unique,281
sql,5,3000,Shared,2719
sql,5,5000,Unique,352
sql,5,5000,Shared,4648
sql,6,50,Unique,2
sql,6,50,Shared,48
sql,6,100,Unique,3
sql,6,100,Shared,97
sql,6,500,Unique,64
sql,6,500,Shared,436
sql,6,1000,Unique,118
sql,6,1000,Shared,882
sql,6,2000,Unique,209
sql,6,2000,Shared,1791
sql,6,3000,Unique,292
sql,6,3000,Shared,2708
sql,6,5000,Unique,411
sql,6,5000,Shared,4589
sql,7,50,Unique,1
sql,7,50,Shared,49
sql,7,100,Unique,8
sql,7,100,Shared,92
sql,7,500,Unique,60
sql,7,500,Shared,440
sql,7,1000,Unique,115
sql,7,1000,Shared,885
sql,7,2000,Unique,179
sql,7,2000,Shared,1821
sql,7,3000,Unique,234
sql,7,3000,Shared,2766
sql,7,5000,Unique,333
sql,7,5000,Shared,4667
sql,8,50,Unique,4
sql,8,50,Shared,46
sql,8,100,Unique,7
sql,8,100,Shared,93
sql,8,500,Unique,58
sql,8,500,Shared,442
sql,8,1000,Unique,103
sql,8,1000,Shared,897
sql,8,2000,Unique,172
sql,8,2000,Shared,1828
sql,8,3000,Unique,220
sql,8,3000,Shared,2780
sql,8,5000,Unique,339
sql,8,5000,Shared,4661
sql,9,50,Unique,3
sql,9,50,Shared,47
sql,9,100,Unique,7
sql,9,100,Shared,93
sql,9,500,Unique,71
sql,9,500,Shared,429
sql,9,1000,Unique,121
sql,9,1000,Shared,879
sql,9,2000,Unique,191
sql,9,2000,Shared,1809
sql,9,3000,Unique,257
sql,9,3000,Shared,2743
sql,9,5000,Unique,372
sql,9,5000,Shared,4628
sql,10,50,Unique,4
sql,10,50,Shared,46
sql,10,100,Unique,9
sql,10,100,Shared,91
sql,10,500,Unique,82
sql,10,500,Shared,418
sql,10,1000,Unique,155
sql,10,1000,Shared,845
sql,10,2000,Unique,246
sql,10,2000,Shared,1754
sql,10,3000,Unique,343
sql,10,3000,Shared,2657
sql,10,5000,Unique,735
sql,10,5000,Shared,4265
sql,11,50,Unique,3
sql,11,50,Shared,47
sql,11,100,Unique,13
sql,11,100,Shared,87
sql,11,500,Unique,79
sql,11,500,Shared,421
sql,11,1000,Unique,145
sql,11,1000,Shared,855
sql,11,2000,Unique,239
sql,11,2000,Shared,1761
sql,11,3000,Unique,349
sql,11,3000,Shared,2651
sql,11,5000,Unique,813
sql,11,5000,Shared,4187
sql,12,50,Unique,3
sql,12,50,Shared,47
sql,12,100,Unique,14
sql,12,100,Shared,86
sql,12,500,Unique,130
sql,12,500,Shared,370
sql,12,1000,Unique,355
sql,12,1000,Shared,645
sql,12,2000,Unique,334
sql,12,2000,Shared,1666
sql,12,3000,Unique,312
sql,12,3000,Shared,2688
sql,12,5000,Unique,263
sql,12,5000,Shared,4737
sql,13,50,Unique,7
sql,13,50,Shared,43
sql,13,100,Unique,13
sql,13,100,Shared,87
sql,13,500,Unique,114
sql,13,500,Shared,386
sql,13,1000,Unique,109
sql,13,1000,Shared,891
sql,13,2000,Unique,97
sql,13,2000,Shared,1903
sql,13,3000,Unique,88
sql,13,3000,Shared,2912
sql,13,5000,Unique,73
sql,13,5000,Shared,4927
sql,14,50,Unique,4
sql,14,50,Shared,46
sql,14,100,Unique,17
sql,14,100,Shared,83
sql,14,500,Unique,65
sql,14,500,Shared,435
sql,14,1000,Unique,64
sql,14,1000,Shared,936
sql,14,2000,Unique,58
sql,14,2000,Shared,1942
sql,14,3000,Unique,53
sql,14,3000,Shared,2947
sql,14,5000,Unique,49
sql,14,5000,Shared,4951
sql,15,50,Unique,7
sql,15,50,Shared,43
sql,15,100,Unique,23
sql,15,100,Shared,77
sql,15,500,Unique,21
sql,15,500,Shared,479
sql,15,1000,Unique,18
sql,15,1000,Shared,982
sql,15,2000,Unique,16
sql,15,2000,Shared,1984
sql,15,3000,Unique,16
sql,15,3000,Shared,2984
sql,15,5000,Unique,12
sql,15,5000,Shared,4988
sql,16,50,Unique,5
sql,16,50,Shared,45
sql,16,100,Unique,20
sql,16,100,Shared,80
sql,16,500,Unique,19
sql,16,500,Shared,481
sql,16,1000,Unique,19
sql,16,1000,Shared,981
sql,16,2000,Unique,16
sql,16,2000,Shared,1984
sql,16,3000,Unique,11
sql,16,3000,Shared,2989
sql,16,5000,Unique,10
sql,16,5000,Shared,4990
sql,17,50,Unique,3
sql,17,50,Shared,47
sql,17,100,Unique,26
sql,17,100,Shared,74
sql,17,500,Unique,27
sql,17,500,Shared,473
sql,17,1000,Unique,25
sql,17,1000,Shared,975
sql,17,2000,Unique,24
sql,17,2000,Shared,1976
sql,17,3000,Unique,22
sql,17,3000,Shared,2978
sql,17,5000,Unique,16
sql,17,5000,Shared,4984
sql,18,50,Unique,6
sql,18,50,Shared,44
sql,18,100,Unique,23
sql,18,100,Shared,77
sql,18,500,Unique,23
sql,18,500,Shared,477
sql,18,1000,Unique,22
sql,18,1000,Shared,978
sql,18,2000,Unique,22
sql,18,2000,Shared,1978
sql,18,3000,Unique,20
sql,18,3000,Shared,2980
sql,18,5000,Unique,12
sql,18,5000,Shared,4988
sql,19,50,Unique,4
sql,19,50,Shared,46
sql,19,100,Unique,13
sql,19,100,Shared,87
sql,19,500,Unique,12
sql,19,500,Shared,488
sql,19,1000,Unique,12
sql,19,1000,Shared,988
sql,19,2000,Unique,12
sql,19,2000,Shared,1988
sql,19,3000,Unique,12
sql,19,3000,Shared,2988
sql,19,5000,Unique,10
sql,19,5000,Shared,4990
sql,20,50,Unique,2
sql,20,50,Shared,48
sql,20,100,Unique,11
sql,20,100,Shared,89
sql,20,500,Unique,11
sql,20,500,Shared,489
sql,20,1000,Unique,11
sql,20,1000,Shared,989
sql,20,2000,Unique,11
sql,20,2000,Shared,1989
sql,20,3000,Unique,10
sql,20,3000,Shared,2990
sql,20,5000,Unique,8
sql,20,5000,Shared,4992
sql,21,50,Unique,5
sql,21,50,Shared,45
sql,21,100,Unique,5
sql,21,100,Shared,95
sql,21,500,Unique,5
sql,21,500,Shared,495
sql,21,1000,Unique,5
sql,21,1000,Shared,995
sql,21,2000,Unique,5
sql,21,2000,Shared,1995
sql,21,3000,Unique,5
sql,21,3000,Shared,2995
sql,21,5000,Unique,5
sql,21,5000,Shared,4995
sql,22,50,Unique,5
sql,22,50,Shared,45
sql,22,100,Unique,5
sql,22,100,Shared,95
sql,22,500,Unique,4
sql,22,500,Shared,496
sql,22,1000,Unique,4
sql,22,1000,Shared,996
sql,22,2000,Unique,4
sql,22,2000,Shared,1996
sql,22,3000,Unique,3
sql,22,3000,Shared,2997
sql,22,5000,Unique,3
sql,22,5000,Shared,4997
sql,23,50,Unique,1
sql,23,50,Shared,49
sql,23,100,Unique,1
sql,23,100,Shared,99
sql,23,500,Unique,1
sql,23,500,Shared,499
sql,23,1000,Unique,1
sql,23,1000,Shared,999
sql,23,2000,Unique,1
sql,23,2000,Shared,1999
sql,23,3000,Unique,1
sql,23,3000,Shared,2999
sql,23,5000,Unique,1
sql,23,5000,Shared,4999
sql,24,50,Unique,0
sql,24,50,Shared,50
sql,24,100,Unique,0
sql,24,100,Shared,100
sql,24,500,Unique,0
sql,24,500,Shared,500
sql,24,1000,Unique,0
sql,24,1000,Shared,1000
sql,24,2000,Unique,0
sql,24,2000,Shared,2000
sql,24,3000,Unique,0
sql,24,3000,Shared,3000
sql,24,5000,Unique,0
sql,24,5000,Shared,5000
sql,25,50,Unique,0
sql,25,50,Shared,50
sql,25,100,Unique,0
sql,25,100,Shared,100
sql,25,500,Unique,0
sql,25,500,Shared,500
sql,25,1000,Unique,0
sql,25,1000,Shared,1000
sql,25,2000,Unique,0
sql,25,2000,Shared,2000
sql,25,3000,Unique,0
sql,25,3000,Shared,3000
sql,25,5000,Unique,0
sql,25,5000,Shared,5000
