Task,Layer,TopK,Metric,Value
german,15,1000,Shared,955
german,15,2000,Unique,68
german,15,2000,Shared,1932
german,15,3000,Unique,100
german,15,3000,Shared,2900
german,15,5000,Unique,126
german,15,5000,Shared,4874
german,16,50,Unique,2
german,16,50,Shared,48
german,16,100,Unique,6
german,16,100,Shared,94
german,16,500,Unique,21
german,16,500,Shared,479
german,16,1000,Unique,40
german,16,1000,Shared,960
german,16,2000,Unique,70
german,16,2000,Shared,1930
german,16,3000,Unique,84
german,16,3000,Shared,2916
german,16,5000,Unique,119
german,16,5000,Shared,4881
german,17,50,Unique,3
german,17,50,Shared,47
german,17,100,Unique,6
german,17,100,Shared,94
german,17,500,Unique,33
german,17,500,Shared,467
german,17,1000,Unique,53
german,17,1000,Shared,947
german,17,2000,Unique,73
german,17,2000,Shared,1927
german,17,3000,Unique,111
german,17,3000,Shared,2889
german,17,5000,Unique,155
german,17,5000,Shared,4845
german,18,50,Unique,1
german,18,50,Shared,49
german,18,100,Unique,6
german,18,100,Shared,94
german,18,500,Unique,24
german,18,500,Shared,476
german,18,1000,Unique,42
german,18,1000,Shared,958
german,18,2000,Unique,75
german,18,2000,Shared,1925
german,18,3000,Unique,96
german,18,3000,Shared,2904
german,18,5000,Unique,135
german,18,5000,Shared,4865
german,19,50,Unique,2
german,19,50,Shared,48
german,19,100,Unique,5
german,19,100,Shared,95
german,19,500,Unique,38
german,19,500,Shared,462
german,19,1000,Unique,52
german,19,1000,Shared,948
german,19,2000,Unique,75
german,19,2000,Shared,1925
german,19,3000,Unique,99
german,19,3000,Shared,2901
german,19,5000,Unique,140
german,19,5000,Shared,4860
german,20,50,Unique,1
german,20,50,Shared,49
german,20,100,Unique,0
german,20,100,Shared,100
german,20,500,Unique,34
german,20,500,Shared,466
german,20,1000,Unique,34
german,20,1000,Shared,966
german,20,2000,Unique,34
german,20,2000,Shared,1966
german,20,3000,Unique,34
german,20,3000,Shared,2966
german,20,5000,Unique,34
german,20,5000,Shared,4966
german,21,50,Unique,1
german,21,50,Shared,49
german,21,100,Unique,3
german,21,100,Shared,97
german,21,500,Unique,65
german,21,500,Shared,435
german,21,1000,Unique,65
german,21,1000,Shared,935
german,21,2000,Unique,64
german,21,2000,Shared,1936
german,21,3000,Unique,62
german,21,3000,Shared,2938
german,21,5000,Unique,61
german,21,5000,Shared,4939
german,22,50,Unique,1
german,22,50,Shared,49
german,22,100,Unique,2
german,22,100,Shared,98
german,22,500,Unique,56
german,22,500,Shared,444
german,22,1000,Unique,56
german,22,1000,Shared,944
german,22,2000,Unique,55
german,22,2000,Shared,1945
german,22,3000,Unique,54
german,22,3000,Shared,2946
german,22,5000,Unique,53
german,22,5000,Shared,4947
german,23,50,Unique,0
german,23,50,Shared,50
german,23,100,Unique,8
german,23,100,Shared,92
german,23,500,Unique,30
german,23,500,Shared,470
german,23,1000,Unique,29
german,23,1000,Shared,971
german,23,2000,Unique,29
german,23,2000,Shared,1971
german,23,3000,Unique,28
german,23,3000,Shared,2972
german,23,5000,Unique,28
german,23,5000,Shared,4972
german,24,50,Unique,1
german,24,50,Shared,49
german,24,100,Unique,11
german,24,100,Shared,89
german,24,500,Unique,32
german,24,500,Shared,468
german,24,1000,Unique,31
german,24,1000,Shared,969
german,24,2000,Unique,31
german,24,2000,Shared,1969
german,24,3000,Unique,31
german,24,3000,Shared,2969
german,24,5000,Unique,31
german,24,5000,Shared,4969
german,25,50,Unique,3
german,25,50,Shared,47
german,25,100,Unique,12
german,25,100,Shared,88
german,25,500,Unique,15
german,25,500,Shared,485
german,25,1000,Unique,15
german,25,1000,Shared,985
german,25,2000,Unique,14
german,25,2000,Shared,1986
german,25,3000,Unique,13
german,25,3000,Shared,2987
german,25,5000,Unique,13
