Task,Layer,TopK,Metric,Value
code,35,3000,Unique,9
code,35,3000,Shared,2991
code,35,5000,Unique,9
code,35,5000,Shared,4991
code,36,50,Unique,4
code,36,50,Shared,46
code,36,100,Unique,5
code,36,100,Shared,95
code,36,500,Unique,5
code,36,500,Shared,495
code,36,1000,Unique,5
code,36,1000,Shared,995
code,36,2000,Unique,5
code,36,2000,Shared,1995
code,36,3000,Unique,5
code,36,3000,Shared,2995
code,36,5000,Unique,5
code,36,5000,Shared,4995
code,37,50,Unique,3
code,37,50,Shared,47
code,37,100,Unique,4
code,37,100,Shared,96
code,37,500,Unique,4
code,37,500,Shared,496
code,37,1000,Unique,4
code,37,1000,Shared,996
code,37,2000,Unique,4
code,37,2000,Shared,1996
code,37,3000,Unique,4
code,37,3000,Shared,2996
code,37,5000,Unique,4
code,37,5000,Shared,4996
code,38,50,Unique,2
code,38,50,Shared,48
code,38,100,Unique,2
code,38,100,Shared,98
code,38,500,Unique,2
code,38,500,Shared,498
code,38,1000,Unique,2
code,38,1000,Shared,998
code,38,2000,Unique,2
code,38,2000,Shared,1998
code,38,3000,Unique,2
code,38,3000,Shared,2998
code,38,5000,Unique,2
code,38,5000,Shared,4998
code,39,50,Unique,2
code,39,50,Shared,48
code,39,100,Unique,1
code,39,100,Shared,99
code,39,500,Unique,1
code,39,500,Shared,499
code,39,1000,Unique,1
code,39,1000,Shared,999
code,39,2000,Unique,1
code,39,2000,Shared,1999
code,39,3000,Unique,1
code,39,3000,Shared,2999
code,39,5000,Unique,1
code,39,5000,Shared,4999
code,40,50,Unique,0
code,40,50,Shared,50
code,40,100,Unique,0
code,40,100,Shared,100
code,40,500,Unique,0
code,40,500,Shared,500
code,40,1000,Unique,0
code,40,1000,Shared,1000
code,40,2000,Unique,0
code,40,2000,Shared,2000
code,40,3000,Unique,0
code,40,3000,Shared,3000
code,40,5000,Unique,0
code,40,5000,Shared,5000
code,41,50,Unique,0
code,41,50,Shared,50
code,41,100,Unique,0
code,41,100,Shared,100
code,41,500,Unique,0
code,41,500,Shared,500
code,41,1000,Unique,0
code,41,1000,Shared,1000
code,41,2000,Unique,0
code,41,2000,Shared,2000
code,41,3000,Unique,0
code,41,3000,Shared,3000
code,41,5000,Unique,0
code,41,5000,Shared,5000
math,0,50,Unique,34
math,0,50,Shared,16
math,0,100,Unique,72
math,0,100,Shared,28
math,0,500,Unique,195
math,0,500,Shared,305
math,0,1000,Unique,360
math,0,1000,Shared,640
math,0,2000,Unique,733
math,0,2000,Shared,1267
math,0,3000,Unique,1386
math,0,3000,Shared,1614
math,0,5000,Unique,2982
math,0,5000,Shared,2018
math,1,50,Unique,41
math,1,50,Shared,9
math,1,100,Unique,86
math,1,100,Shared,14
math,1,500,Unique,434
math,1,500,Shared,66
math,1,1000,Unique,565
math,1,1000,Shared,435
math,1,2000,Unique,388
math,1,2000,Shared,1612
math,1,3000,Unique,488
math,1,3000,Shared,2512
math,1,5000,Unique,1297
math,1,5000,Shared,3703
math,2,50,Unique,44
math,2,50,Shared,6
math,2,100,Unique,85
math,2,100,Shared,15
math,2,500,Unique,454
math,2,500,Shared,46
math,2,1000,Unique,656
math,2,1000,Shared,344
math,2,2000,Unique,581
math,2,2000,Shared,1419
math,2,3000,Unique,468
math,2,3000,Shared,2532
math,2,5000,Unique,576
math,2,5000,Shared,4424
math,3,50,Unique,47
math,3,50,Shared,3
math,3,100,Unique,90
math,3,100,Shared,10
math,3,500,Unique,463
math,3,500,Shared,37
math,3,1000,Unique,876
math,3,1000,Shared,124
math,3,2000,Unique,1567
math,3,2000,Shared,433
math,3,3000,Unique,2106
math,3,3000,Shared,894
math,3,5000,Unique,1783
math,3,5000,Shared,3217
math,4,50,Unique,48
math,4,50,Shared,2
math,4,100,Unique,94
math,4,100,Shared,6
math,4,500,Unique,457
math,4,500,Shared,43
math,4,1000,Unique,866
math,4,1000,Shared,134
math,4,2000,Unique,1719
math,4,2000,Shared,281
math,4,3000,Unique,1916
math,4,3000,Shared,1084
math,4,5000,Unique,1777
math,4,5000,Shared,3223
math,5,50,Unique,40
math,5,50,Shared,10
math,5,100,Unique,88
math,5,100,Shared,12
math,5,500,Unique,363
math,5,500,Shared,137
math,5,1000,Unique,526
math,5,1000,Shared,474
math,5,2000,Unique,565
math,5,2000,Shared,1435
math,5,3000,Unique,580
math,5,3000,Shared,2420
math,5,5000,Unique,592
math,5,5000,Shared,4408
math,6,50,Unique,39
math,6,50,Shared,11
math,6,100,Unique,86
math,6,100,Shared,14
math,6,500,Unique,463
math,6,500,Shared,37
math,6,1000,Unique,702
math,6,1000,Shared,298
math,6,2000,Unique,778
math,6,2000,Shared,1222
math,6,3000,Unique,791
math,6,3000,Shared,2209
math,6,5000,Unique,791
math,6,5000,Shared,4209
math,7,50,Unique,39
math,7,50,Shared,11
math,7,100,Unique,82
math,7,100,Shared,18
math,7,500,Unique,459
math,7,500,Shared,41
math,7,1000,Unique,587
math,7,1000,Shared,413
math,7,2000,Unique,607
math,7,2000,Shared,1393
math,7,3000,Unique,621
math,7,3000,Shared,2379
math,7,5000,Unique,651
math,7,5000,Shared,4349
math,8,50,Unique,43
math,8,50,Shared,7
math,8,100,Unique,87
math,8,100,Shared,13
math,8,500,Unique,210
math,8,500,Shared,290
math,8,1000,Unique,228
math,8,1000,Shared,772
math,8,2000,Unique,251
math,8,2000,Shared,1749
math,8,3000,Unique,272
math,8,3000,Shared,2728
math,8,5000,Unique,294
math,8,5000,Shared,4706
math,9,50,Unique,41
math,9,50,Shared,9
math,9,100,Unique,87
math,9,100,Shared,13
math,9,500,Unique,184
math,9,500,Shared,316
math,9,1000,Unique,202
math,9,1000,Shared,798
math,9,2000,Unique,224
math,9,2000,Shared,1776
math,9,3000,Unique,251
math,9,3000,Shared,2749
math,9,5000,Unique,302
math,9,5000,Shared,4698
math,10,50,Unique,38
math,10,50,Shared,12
math,10,100,Unique,85
math,10,100,Shared,15
math,10,500,Unique,197
math,10,500,Shared,303
math,10,1000,Unique,217
math,10,1000,Shared,783
math,10,2000,Unique,251
math,10,2000,Shared,1749
math,10,3000,Unique,268
math,10,3000,Shared,2732
math,10,5000,Unique,316
math,10,5000,Shared,4684
math,11,50,Unique,42
math,11,50,Shared,8
math,11,100,Unique,88
math,11,100,Shared,12
math,11,500,Unique,250
math,11,500,Shared,250
math,11,1000,Unique,281
math,11,1000,Shared,719
math,11,2000,Unique,301
math,11,2000,Shared,1699
math,11,3000,Unique,328
math,11,3000,Shared,2672
math,11,5000,Unique,426
math,11,5000,Shared,4574
math,12,50,Unique,40
math,12,50,Shared,10
math,12,100,Unique,87
math,12,100,Shared,13
math,12,500,Unique,222
math,12,500,Shared,278
math,12,1000,Unique,234
math,12,1000,Shared,766
math,12,2000,Unique,273
math,12,2000,Shared,1727
math,12,3000,Unique,295
math,12,3000,Shared,2705
math,12,5000,Unique,366
math,12,5000,Shared,4634
math,13,50,Unique,38
math,13,50,Shared,12
math,13,100,Unique,85
math,13,100,Shared,15
math,13,500,Unique,242
math,13,500,Shared,258
math,13,1000,Unique,258
math,13,1000,Shared,742
math,13,2000,Unique,294
math,13,2000,Shared,1706
math,13,3000,Unique,325
math,13,3000,Shared,2675
math,13,5000,Unique,398
math,13,5000,Shared,4602
math,14,50,Unique,39
math,14,50,Shared,11
math,14,100,Unique,81
math,14,100,Shared,19
math,14,500,Unique,206
math,14,500,Shared,294
math,14,1000,Unique,221
math,14,1000,Shared,779
math,14,2000,Unique,259
math,14,2000,Shared,1741
math,14,3000,Unique,315
math,14,3000,Shared,2685
math,14,5000,Unique,414
math,14,5000,Shared,4586
math,15,50,Unique,39
math,15,50,Shared,11
math,15,100,Unique,83
math,15,100,Shared,17
math,15,500,Unique,144
math,15,500,Shared,356
math,15,1000,Unique,176
math,15,1000,Shared,824
math,15,2000,Unique,228
math,15,2000,Shared,1772
math,15,3000,Unique,324
math,15,3000,Shared,2676
math,15,5000,Unique,415
math,15,5000,Shared,4585
math,16,50,Unique,40
math,16,50,Shared,10
math,16,100,Unique,79
math,16,100,Shared,21
math,16,500,Unique,142
math,16,500,Shared,358
math,16,1000,Unique,178
math,16,1000,Shared,822
math,16,2000,Unique,260
math,16,2000,Shared,1740
math,16,3000,Unique,311
math,16,3000,Shared,2689
math,16,5000,Unique,419
math,16,5000,Shared,4581
math,17,50,Unique,34
math,17,50,Shared,16
math,17,100,Unique,73
math,17,100,Shared,27
math,17,500,Unique,155
math,17,500,Shared,345
math,17,1000,Unique,207
math,17,1000,Shared,793
math,17,2000,Unique,306
math,17,2000,Shared,1694
math,17,3000,Unique,382
math,17,3000,Shared,2618
math,17,5000,Unique,513
math,17,5000,Shared,4487
math,18,50,Unique,37
math,18,50,Shared,13
math,18,100,Unique,71
math,18,100,Shared,29
math,18,500,Unique,140
math,18,500,Shared,360
math,18,1000,Unique,196
math,18,1000,Shared,804
math,18,2000,Unique,284
math,18,2000,Shared,1716
math,18,3000,Unique,358
math,18,3000,Shared,2642
math,18,5000,Unique,480
math,18,5000,Shared,4520
math,19,50,Unique,39
math,19,50,Shared,11
math,19,100,Unique,76
math,19,100,Shared,24
math,19,500,Unique,145
math,19,500,Shared,355
math,19,1000,Unique,196
math,19,1000,Shared,804
math,19,2000,Unique,281
math,19,2000,Shared,1719
math,19,3000,Unique,342
math,19,3000,Shared,2658
math,19,5000,Unique,451
math,19,5000,Shared,4549
math,20,50,Unique,3
math,20,50,Shared,47
math,20,100,Unique,10
math,20,100,Shared,90
math,20,500,Unique,50
math,20,500,Shared,450
math,20,1000,Unique,50
math,20,1000,Shared,950
math,20,2000,Unique,50
math,20,2000,Shared,1950
math,20,3000,Unique,50
math,20,3000,Shared,2950
math,20,5000,Unique,50
math,20,5000,Shared,4950
math,21,50,Unique,2
math,21,50,Shared,48
math,21,100,Unique,3
math,21,100,Shared,97
math,21,500,Unique,62
math,21,500,Shared,438
math,21,1000,Unique,62
math,21,1000,Shared,938
math,21,2000,Unique,61
math,21,2000,Shared,1939
math,21,3000,Unique,60
math,21,3000,Shared,2940
math,21,5000,Unique,59
math,21,5000,Shared,4941
math,22,50,Unique,0
math,22,50,Shared,50
math,22,100,Unique,10
math,22,100,Shared,90
math,22,500,Unique,71
math,22,500,Shared,429
math,22,1000,Unique,71
math,22,1000,Shared,929
math,22,2000,Unique,70
math,22,2000,Shared,1930
math,22,3000,Unique,68
math,22,3000,Shared,2932
math,22,5000,Unique,67
math,22,5000,Shared,4933
math,23,50,Unique,2
math,23,50,Shared,48
math,23,100,Unique,8
math,23,100,Shared,92
math,23,500,Unique,47
math,23,500,Shared,453
math,23,1000,Unique,47
math,23,1000,Shared,953
math,23,2000,Unique,46
math,23,2000,Shared,1954
math,23,3000,Unique,45
math,23,3000,Shared,2955
math,23,5000,Unique,44
math,23,5000,Shared,4956
math,24,50,Unique,6
math,24,50,Shared,44
math,24,100,Unique,10
math,24,100,Shared,90
math,24,500,Unique,48
math,24,500,Shared,452
math,24,1000,Unique,48
math,24,1000,Shared,952
math,24,2000,Unique,48
math,24,2000,Shared,1952
math,24,3000,Unique,47
math,24,3000,Shared,2953
math,24,5000,Unique,47
math,24,5000,Shared,4953
math,25,50,Unique,3
math,25,50,Shared,47
math,25,100,Unique,13
math,25,100,Shared,87
math,25,500,Unique,21
math,25,500,Shared,479
math,25,1000,Unique,21
math,25,1000,Shared,979
math,25,2000,Unique,21
math,25,2000,Shared,1979
math,25,3000,Unique,21
math,25,3000,Shared,2979
math,25,5000,Unique,21
math,25,5000,Shared,4979
math,26,50,Unique,3
math,26,50,Shared,47
math,26,100,Unique,20
math,26,100,Shared,80
math,26,500,Unique,20
math,26,500,Shared,480
math,26,1000,Unique,20
math,26,1000,Shared,980
math,26,2000,Unique,20
math,26,2000,Shared,1980
math,26,3000,Unique,20
math,26,3000,Shared,2980
math,26,5000,Unique,20
math,26,5000,Shared,4980
math,27,50,Unique,5
math,27,50,Shared,45
math,27,100,Unique,9
math,27,100,Shared,91
math,27,500,Unique,9
math,27,500,Shared,491
math,27,1000,Unique,9
math,27,1000,Shared,991
math,27,2000,Unique,9
math,27,2000,Shared,1991
math,27,3000,Unique,9
math,27,3000,Shared,2991
math,27,5000,Unique,9
math,27,5000,Shared,4991
math,28,50,Unique,8
math,28,50,Shared,42
math,28,100,Unique,8
math,28,100,Shared,92
math,28,500,Unique,25
math,28,500,Shared,475
math,28,1000,Unique,24
math,28,1000,Shared,976
math,28,2000,Unique,24
math,28,2000,Shared,1976
math,28,3000,Unique,24
math,28,3000,Shared,2976
math,28,5000,Unique,23
math,28,5000,Shared,4977
math,29,50,Unique,3
math,29,50,Shared,47
math,29,100,Unique,7
math,29,100,Shared,93
math,29,500,Unique,7
math,29,500,Shared,493
math,29,1000,Unique,7
math,29,1000,Shared,993
math,29,2000,Unique,7
math,29,2000,Shared,1993
math,29,3000,Unique,7
math,29,3000,Shared,2993
math,29,5000,Unique,7
math,29,5000,Shared,4993
math,30,50,Unique,2
math,30,50,Shared,48
math,30,100,Unique,11
math,30,100,Shared,89
math,30,500,Unique,11
math,30,500,Shared,489
math,30,1000,Unique,11
math,30,1000,Shared,989
math,30,2000,Unique,11
math,30,2000,Shared,1989
math,30,3000,Unique,11
math,30,3000,Shared,2989
math,30,5000,Unique,11
math,30,5000,Shared,4989
math,31,50,Unique,3
math,31,50,Shared,47
math,31,100,Unique,14
math,31,100,Shared,86
math,31,500,Unique,14
math,31,500,Shared,486
math,31,1000,Unique,14
math,31,1000,Shared,986
math,31,2000,Unique,14
math,31,2000,Shared,1986
math,31,3000,Unique,14
math,31,3000,Shared,2986
math,31,5000,Unique,14
math,31,5000,Shared,4986
math,32,50,Unique,1
math,32,50,Shared,49
math,32,100,Unique,13
math,32,100,Shared,87
math,32,500,Unique,21
math,32,500,Shared,479
math,32,1000,Unique,21
math,32,1000,Shared,979
math,32,2000,Unique,21
math,32,2000,Shared,1979
math,32,3000,Unique,21
math,32,3000,Shared,2979
math,32,5000,Unique,19
math,32,5000,Shared,4981
math,33,50,Unique,2
math,33,50,Shared,48
math,33,100,Unique,3
math,33,100,Shared,97
math,33,500,Unique,14
math,33,500,Shared,486
math,33,1000,Unique,14
math,33,1000,Shared,986
math,33,2000,Unique,14
math,33,2000,Shared,1986
math,33,3000,Unique,14
math,33,3000,Shared,2986
math,33,5000,Unique,14
math,33,5000,Shared,4986
math,34,50,Unique,2
math,34,50,Shared,48
math,34,100,Unique,2
math,34,100,Shared,98
math,34,500,Unique,16
math,34,500,Shared,484
math,34,1000,Unique,16
math,34,1000,Shared,984
math,34,2000,Unique,16
math,34,2000,Shared,1984
math,34,3000,Unique,16
math,34,3000,Shared,2984
math,34,5000,Unique,16
math,34,5000,Shared,4984
math,35,50,Unique,1
math,35,50,Shared,49
math,35,100,Unique,12
math,35,100,Shared,88
math,35,500,Unique,12
math,35,500,Shared,488
math,35,1000,Unique,12
math,35,1000,Shared,988
math,35,2000,Unique,12
math,35,2000,Shared,1988
math,35,3000,Unique,12
math,35,3000,Shared,2988
math,35,5000,Unique,12
math,35,5000,Shared,4988
math,36,50,Unique,2
math,36,50,Shared,48
math,36,100,Unique,7
math,36,100,Shared,93
math,36,500,Unique,7
math,36,500,Shared,493
math,36,1000,Unique,7
math,36,1000,Shared,993
math,36,2000,Unique,7
math,36,2000,Shared,1993
math,36,3000,Unique,7
math,36,3000,Shared,2993
math,36,5000,Unique,7
math,36,5000,Shared,4993
math,37,50,Unique,2
math,37,50,Shared,48
math,37,100,Unique,10
math,37,100,Shared,90
math,37,500,Unique,10
math,37,500,Shared,490
math,37,1000,Unique,10
math,37,1000,Shared,990
math,37,2000,Unique,10
math,37,2000,Shared,1990
math,37,3000,Unique,9
math,37,3000,Shared,2991
math,37,5000,Unique,9
math,37,5000,Shared,4991
math,38,50,Unique,5
math,38,50,Shared,45
math,38,100,Unique,6
math,38,100,Shared,94
math,38,500,Unique,6
math,38,500,Shared,494
math,38,1000,Unique,6
math,38,1000,Shared,994
math,38,2000,Unique,6
math,38,2000,Shared,1994
math,38,3000,Unique,6
math,38,3000,Shared,2994
math,38,5000,Unique,6
math,38,5000,Shared,4994
math,39,50,Unique,0
math,39,50,Shared,50
math,39,100,Unique,4
math,39,100,Shared,96
math,39,500,Unique,4
math,39,500,Shared,496
math,39,1000,Unique,4
math,39,1000,Shared,996
math,39,2000,Unique,3
math,39,2000,Shared,1997
math,39,3000,Unique,3
math,39,3000,Shared,2997
math,39,5000,Unique,3
math,39,5000,Shared,4997
math,40,50,Unique,0
math,40,50,Shared,50
math,40,100,Unique,0
math,40,100,Shared,100
math,40,500,Unique,0
math,40,500,Shared,500
math,40,1000,Unique,0
math,40,1000,Shared,1000
math,40,2000,Unique,0
math,40,2000,Shared,2000
math,40,3000,Unique,0
math,40,3000,Shared,3000
math,40,5000,Unique,0
math,40,5000,Shared,5000
math,41,50,Unique,0
math,41,50,Shared,50
math,41,100,Unique,0
math,41,100,Shared,100
math,41,500,Unique,0
math,41,500,Shared,500
math,41,1000,Unique,0
math,41,1000,Shared,1000
math,41,2000,Unique,0
math,41,2000,Shared,2000
math,41,3000,Unique,0
math,41,3000,Shared,3000
math,41,5000,Unique,0
math,41,5000,Shared,5000
sql,0,50,Unique,0
sql,0,50,Shared,50
sql,0,100,Unique,1
sql,0,100,Shared,99
sql,0,500,Unique,109
sql,0,500,Shared,391
sql,0,1000,Unique,377
sql,0,1000,Shared,623
sql,0,2000,Unique,860
sql,0,2000,Shared,1140
sql,0,3000,Unique,1544
sql,0,3000,Shared,1456
sql,0,5000,Unique,3186
sql,0,5000,Shared,1814
sql,1,50,Unique,1
sql,1,50,Shared,49
sql,1,100,Unique,2
sql,1,100,Shared,98
sql,1,500,Unique,10
sql,1,500,Shared,490
sql,1,1000,Unique,32
sql,1,1000,Shared,968
sql,1,2000,Unique,165
sql,1,2000,Shared,1835
sql,1,3000,Unique,492
sql,1,3000,Shared,2508
sql,1,5000,Unique,1366
sql,1,5000,Shared,3634
sql,2,50,Unique,0
sql,2,50,Shared,50
sql,2,100,Unique,1
sql,2,100,Shared,99
sql,2,500,Unique,13
sql,2,500,Shared,487
sql,2,1000,Unique,32
sql,2,1000,Shared,968
sql,2,2000,Unique,104
sql,2,2000,Shared,1896
sql,2,3000,Unique,221
sql,2,3000,Shared,2779
sql,2,5000,Unique,538
sql,2,5000,Shared,4462
sql,3,50,Unique,2
sql,3,50,Shared,48
sql,3,100,Unique,2
sql,3,100,Shared,98
sql,3,500,Unique,9
sql,3,500,Shared,491
sql,3,1000,Unique,16
sql,3,1000,Shared,984
sql,3,2000,Unique,21
sql,3,2000,Shared,1979
sql,3,3000,Unique,22
sql,3,3000,Shared,2978
sql,3,5000,Unique,89
sql,3,5000,Shared,4911
sql,4,50,Unique,1
sql,4,50,Shared,49
sql,4,100,Unique,1
sql,4,100,Shared,99
sql,4,500,Unique,5
sql,4,500,Shared,495
sql,4,1000,Unique,22
sql,4,1000,Shared,978
sql,4,2000,Unique,31
sql,4,2000,Shared,1969
sql,4,3000,Unique,83
sql,4,3000,Shared,2917
sql,4,5000,Unique,137
sql,4,5000,Shared,4863
sql,5,50,Unique,2
sql,5,50,Shared,48
sql,5,100,Unique,2
sql,5,100,Shared,98
sql,5,500,Unique,20
sql,5,500,Shared,480
sql,5,1000,Unique,54
sql,5,1000,Shared,946
sql,5,2000,Unique,85
sql,5,2000,Shared,1915
sql,5,3000,Unique,115
sql,5,3000,Shared,2885
sql,5,5000,Unique,161
sql,5,5000,Shared,4839
sql,6,50,Unique,2
sql,6,50,Shared,48
sql,6,100,Unique,4
sql,6,100,Shared,96
sql,6,500,Unique,25
sql,6,500,Shared,475
sql,6,1000,Unique,60
sql,6,1000,Shared,940
sql,6,2000,Unique,121
sql,6,2000,Shared,1879
sql,6,3000,Unique,149
sql,6,3000,Shared,2851
sql,6,5000,Unique,212
sql,6,5000,Shared,4788
sql,7,50,Unique,1
sql,7,50,Shared,49
sql,7,100,Unique,4
sql,7,100,Shared,96
sql,7,500,Unique,20
sql,7,500,Shared,480
sql,7,1000,Unique,65
sql,7,1000,Shared,935
sql,7,2000,Unique,130
sql,7,2000,Shared,1870
sql,7,3000,Unique,173
sql,7,3000,Shared,2827
sql,7,5000,Unique,235
sql,7,5000,Shared,4765
sql,8,50,Unique,2
sql,8,50,Shared,48
sql,8,100,Unique,3
sql,8,100,Shared,97
sql,8,500,Unique,37
sql,8,500,Shared,463
sql,8,1000,Unique,54
sql,8,1000,Shared,946
sql,8,2000,Unique,82
sql,8,2000,Shared,1918
sql,8,3000,Unique,110
sql,8,3000,Shared,2890
sql,8,5000,Unique,137
sql,8,5000,Shared,4863
sql,9,50,Unique,2
sql,9,50,Shared,48
sql,9,100,Unique,4
sql,9,100,Shared,96
sql,9,500,Unique,47
sql,9,500,Shared,453
sql,9,1000,Unique,68
sql,9,1000,Shared,932
sql,9,2000,Unique,99
sql,9,2000,Shared,1901
sql,9,3000,Unique,120
sql,9,3000,Shared,2880
sql,9,5000,Unique,149
sql,9,5000,Shared,4851
sql,10,50,Unique,2
sql,10,50,Shared,48
sql,10,100,Unique,5
sql,10,100,Shared,95
sql,10,500,Unique,53
sql,10,500,Shared,447
sql,10,1000,Unique,79
sql,10,1000,Shared,921
sql,10,2000,Unique,102
sql,10,2000,Shared,1898
sql,10,3000,Unique,128
sql,10,3000,Shared,2872
sql,10,5000,Unique,168
sql,10,5000,Shared,4832
sql,11,50,Unique,2
sql,11,50,Shared,48
sql,11,100,Unique,8
sql,11,100,Shared,92
sql,11,500,Unique,59
sql,11,500,Shared,441
sql,11,1000,Unique,87
sql,11,1000,Shared,913
sql,11,2000,Unique,146
sql,11,2000,Shared,1854
sql,11,3000,Unique,182
sql,11,3000,Shared,2818
sql,11,5000,Unique,231
sql,11,5000,Shared,4769
sql,12,50,Unique,3
sql,12,50,Shared,47
sql,12,100,Unique,4
sql,12,100,Shared,96
sql,12,500,Unique,57
sql,12,500,Shared,443
sql,12,1000,Unique,70
sql,12,1000,Shared,930
sql,12,2000,Unique,113
sql,12,2000,Shared,1887
sql,12,3000,Unique,132
sql,12,3000,Shared,2868
sql,12,5000,Unique,191
sql,12,5000,Shared,4809
sql,13,50,Unique,4
sql,13,50,Shared,46
sql,13,100,Unique,9
sql,13,100,Shared,91
sql,13,500,Unique,56
sql,13,500,Shared,444
sql,13,1000,Unique,81
sql,13,1000,Shared,919
sql,13,2000,Unique,108
sql,13,2000,Shared,1892
sql,13,3000,Unique,146
sql,13,3000,Shared,2854
sql,13,5000,Unique,185
sql,13,5000,Shared,4815
sql,14,50,Unique,3
sql,14,50,Shared,47
sql,14,100,Unique,4
sql,14,100,Shared,96
sql,14,500,Unique,62
sql,14,500,Shared,438
sql,14,1000,Unique,82
sql,14,1000,Shared,918
sql,14,2000,Unique,109
sql,14,2000,Shared,1891
sql,14,3000,Unique,144
sql,14,3000,Shared,2856
sql,14,5000,Unique,203
sql,14,5000,Shared,4797
sql,15,50,Unique,4
sql,15,50,Shared,46
sql,15,100,Unique,7
sql,15,100,Shared,93
sql,15,500,Unique,48
sql,15,500,Shared,452
sql,15,1000,Unique,71
sql,15,1000,Shared,929
sql,15,2000,Unique,111
sql,15,2000,Shared,1889
sql,15,3000,Unique,133
sql,15,3000,Shared,2867
sql,15,5000,Unique,187
sql,15,5000,Shared,4813
sql,16,50,Unique,3
sql,16,50,Shared,47
sql,16,100,Unique,4
sql,16,100,Shared,96
sql,16,500,Unique,41
sql,16,500,Shared,459
sql,16,1000,Unique,59
sql,16,1000,Shared,941
sql,16,2000,Unique,114
sql,16,2000,Shared,1886
sql,16,3000,Unique,146
sql,16,3000,Shared,2854
sql,16,5000,Unique,197
sql,16,5000,Shared,4803
sql,17,50,Unique,2
sql,17,50,Shared,48
sql,17,100,Unique,9
sql,17,100,Shared,91
sql,17,500,Unique,66
sql,17,500,Shared,434
sql,17,1000,Unique,91
sql,17,1000,Shared,909
sql,17,2000,Unique,135
sql,17,2000,Shared,1865
sql,17,3000,Unique,175
sql,17,3000,Shared,2825
sql,17,5000,Unique,249
sql,17,5000,Shared,4751
sql,18,50,Unique,5
sql,18,50,Shared,45
sql,18,100,Unique,11
sql,18,100,Shared,89
sql,18,500,Unique,59
sql,18,500,Shared,441
sql,18,1000,Unique,79
sql,18,1000,Shared,921
sql,18,2000,Unique,120
sql,18,2000,Shared,1880
sql,18,3000,Unique,168
sql,18,3000,Shared,2832
sql,18,5000,Unique,218
sql,18,5000,Shared,4782
sql,19,50,Unique,4
sql,19,50,Shared,46
sql,19,100,Unique,6
sql,19,100,Shared,94
sql,19,500,Unique,53
sql,19,500,Shared,447
sql,19,1000,Unique,86
sql,19,1000,Shared,914
sql,19,2000,Unique,134
sql,19,2000,Shared,1866
sql,19,3000,Unique,160
sql,19,3000,Shared,2840
sql,19,5000,Unique,225
sql,19,5000,Shared,4775
sql,20,50,Unique,0
sql,20,50,Shared,50
sql,20,100,Unique,1
sql,20,100,Shared,99
sql,20,500,Unique,35
sql,20,500,Shared,465
sql,20,1000,Unique,35
sql,20,1000,Shared,965
sql,20,2000,Unique,35
sql,20,2000,Shared,1965
sql,20,3000,Unique,35
sql,20,3000,Shared,2965
sql,20,5000,Unique,34
sql,20,5000,Shared,4966
sql,21,50,Unique,2
sql,21,50,Shared,48
sql,21,100,Unique,1
sql,21,100,Shared,99
sql,21,500,Unique,43
sql,21,500,Shared,457
sql,21,1000,Unique,43
sql,21,1000,Shared,957
sql,21,2000,Unique,42
sql,21,2000,Shared,1958
sql,21,3000,Unique,42
sql,21,3000,Shared,2958
sql,21,5000,Unique,42
sql,21,5000,Shared,4958
sql,22,50,Unique,1
sql,22,50,Shared,49
sql,22,100,Unique,2
sql,22,100,Shared,98
sql,22,500,Unique,45
sql,22,500,Shared,455
sql,22,1000,Unique,45
sql,22,1000,Shared,955
sql,22,2000,Unique,44
sql,22,2000,Shared,1956
sql,22,3000,Unique,43
sql,22,3000,Shared,2957
sql,22,5000,Unique,42
sql,22,5000,Shared,4958
sql,23,50,Unique,1
sql,23,50,Shared,49
sql,23,100,Unique,9
sql,23,100,Shared,91
sql,23,500,Unique,25
sql,23,500,Shared,475
sql,23,1000,Unique,25
sql,23,1000,Shared,975
sql,23,2000,Unique,24
sql,23,2000,Shared,1976
sql,23,3000,Unique,24
sql,23,3000,Shared,2976
sql,23,5000,Unique,23
sql,23,5000,Shared,4977
sql,24,50,Unique,0
sql,24,50,Shared,50
sql,24,100,Unique,9
sql,24,100,Shared,91
sql,24,500,Unique,29
sql,24,500,Shared,471
sql,24,1000,Unique,29
sql,24,1000,Shared,971
sql,24,2000,Unique,29
sql,24,2000,Shared,1971
sql,24,3000,Unique,29
sql,24,3000,Shared,2971
sql,24,5000,Unique,29
sql,24,5000,Shared,4971
sql,25,50,Unique,4
sql,25,50,Shared,46
sql,25,100,Unique,8
sql,25,100,Shared,92
sql,25,500,Unique,8
sql,25,500,Shared,492
sql,25,1000,Unique,8
sql,25,1000,Shared,992
sql,25,2000,Unique,8
sql,25,2000,Shared,1992
sql,25,3000,Unique,8
sql,25,3000,Shared,2992
sql,25,5000,Unique,8
sql,25,5000,Shared,4992
sql,26,50,Unique,2
sql,26,50,Shared,48
sql,26,100,Unique,12
sql,26,100,Shared,88
sql,26,500,Unique,12
sql,26,500,Shared,488
sql,26,1000,Unique,12
sql,26,1000,Shared,988
sql,26,2000,Unique,12
sql,26,2000,Shared,1988
sql,26,3000,Unique,12
sql,26,3000,Shared,2988
sql,26,5000,Unique,11
sql,26,5000,Shared,4989
sql,27,50,Unique,3
sql,27,50,Shared,47
sql,27,100,Unique,5
sql,27,100,Shared,95
sql,27,500,Unique,5
sql,27,500,Shared,495
sql,27,1000,Unique,5
sql,27,1000,Shared,995
