Task,Layer,TopK,Metric,Value
german,0,50,Unique,0
german,0,50,Shared,50
german,0,100,Unique,3
german,0,100,Shared,97
german,0,500,Unique,10
german,0,500,Shared,490
german,0,1000,Unique,12
german,0,1000,Shared,988
german,0,2000,Unique,16
german,0,2000,Shared,1984
german,0,3000,Unique,128
german,0,3000,Shared,2872
german,0,5000,Unique,1314
german,0,5000,Shared,3686
german,1,50,Unique,1
german,1,50,Shared,49
german,1,100,Unique,2
german,1,100,Shared,98
german,1,500,Unique,15
german,1,500,Shared,485
german,1,1000,Unique,203
german,1,1000,Shared,797
german,1,2000,Unique,748
german,1,2000,Shared,1252
german,1,3000,Unique,1448
german,1,3000,Shared,1552
german,1,5000,Unique,2805
german,1,5000,Shared,2195
german,2,50,Unique,2
german,2,50,Shared,48
german,2,100,Unique,3
german,2,100,Shared,97
german,2,500,Unique,16
german,2,500,Shared,484
german,2,1000,Unique,120
german,2,1000,Shared,880
german,2,2000,Unique,347
german,2,2000,Shared,1653
german,2,3000,Unique,691
german,2,3000,Shared,2309
german,2,5000,Unique,1953
german,2,5000,Shared,3047
german,3,50,Unique,2
german,3,50,Shared,48
german,3,100,Unique,3
german,3,100,Shared,97
german,3,500,Unique,12
german,3,500,Shared,488
german,3,1000,Unique,18
german,3,1000,Shared,982
german,3,2000,Unique,90
german,3,2000,Shared,1910
german,3,3000,Unique,155
german,3,3000,Shared,2845
german,3,5000,Unique,284
german,3,5000,Shared,4716
german,4,50,Unique,3
german,4,50,Shared,47
german,4,100,Unique,5
german,4,100,Shared,95
german,4,500,Unique,20
german,4,500,Shared,480
german,4,1000,Unique,16
german,4,1000,Shared,984
german,4,2000,Unique,118
german,4,2000,Shared,1882
german,4,3000,Unique,183
german,4,3000,Shared,2817
german,4,5000,Unique,284
german,4,5000,Shared,4716
german,5,50,Unique,2
german,5,50,Shared,48
german,5,100,Unique,3
german,5,100,Shared,97
german,5,500,Unique,36
german,5,500,Shared,464
german,5,1000,Unique,89
german,5,1000,Shared,911
german,5,2000,Unique,165
german,5,2000,Shared,1835
german,5,3000,Unique,224
german,5,3000,Shared,2776
german,5,5000,Unique,371
german,5,5000,Shared,4629
german,6,50,Unique,1
german,6,50,Shared,49
german,6,100,Unique,2
german,6,100,Shared,98
german,6,500,Unique,22
german,6,500,Shared,478
german,6,1000,Unique,109
german,6,1000,Shared,891
german,6,2000,Unique,232
german,6,2000,Shared,1768
german,6,3000,Unique,326
german,6,3000,Shared,2674
german,6,5000,Unique,460
german,6,5000,Shared,4540
german,7,50,Unique,2
german,7,50,Shared,48
german,7,100,Unique,3
german,7,100,Shared,97
german,7,500,Unique,36
german,7,500,Shared,464
german,7,1000,Unique,112
german,7,1000,Shared,888
german,7,2000,Unique,252
german,7,2000,Shared,1748
german,7,3000,Unique,337
german,7,3000,Shared,2663
german,7,5000,Unique,486
german,7,5000,Shared,4514
german,8,50,Unique,1
german,8,50,Shared,49
german,8,100,Unique,4
german,8,100,Shared,96
german,8,500,Unique,47
german,8,500,Shared,453
german,8,1000,Unique,134
german,8,1000,Shared,866
german,8,2000,Unique,278
german,8,2000,Shared,1722
german,8,3000,Unique,362
german,8,3000,Shared,2638
german,8,5000,Unique,559
german,8,5000,Shared,4441
german,9,50,Unique,2
german,9,50,Shared,48
german,9,100,Unique,5
german,9,100,Shared,95
german,9,500,Unique,71
german,9,500,Shared,429
german,9,1000,Unique,187
german,9,1000,Shared,813
german,9,2000,Unique,317
german,9,2000,Shared,1683
german,9,3000,Unique,435
german,9,3000,Shared,2565
german,9,5000,Unique,598
german,9,5000,Shared,4402
german,10,50,Unique,2
german,10,50,Shared,48
german,10,100,Unique,2
german,10,100,Shared,98
german,10,500,Unique,63
german,10,500,Shared,437
german,10,1000,Unique,171
german,10,1000,Shared,829
german,10,2000,Unique,289
german,10,2000,Shared,1711
german,10,3000,Unique,419
german,10,3000,Shared,2581
german,10,5000,Unique,634
